cntry,pplfair,pplhlp,ppltrst,lw_pnd,lrscale,polintr,stfdem,stfeco,stfgov,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,contadornegativo,ContadorNeutro,ContadorPositivo
Bélgica,3.0,1.0,1.0,1.0,3.0,4.0,5.0,5.0,7.0,2.0,3.0,0.0,1.0,5.0,6.0,0.0,0.0,8.0,7.0,0,0,4.5,5.25
Bélgica,7.0,0.0,5.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,5.0,5.0,8.0,5.0,5.0,7.0,8.0,0,1,7.5,7.75
Bélgica,5.0,3.0,6.0,3.0,4.0,2.0,4.0,6.0,7.0,9.0,8.0,6.0,7.0,5.0,9.0,7.0,5.0,4.0,4.0,0,0,5.25,0.0
Bélgica,6.0,4.0,6.0,2.0,6.0,3.0,9.0,6.0,7.0,7.0,7.0,7.0,7.0,5.0,8.0,5.0,7.0,9.0,1.0,0,1,3.25,0.0
Bélgica,9.0,5.0,7.0,2.0,4.0,2.0,7.0,8.0,8.0,8.0,7.0,6.0,8.0,5.0,9.0,8.0,7.0,8.0,0.0,0,0,3.25,1.5
Bélgica,1.0,9.0,2.0,2.0,5.0,3.0,10.0,9.0,9.0,5.0,7.0,5.0,10.0,5.0,9.0,5.0,5.0,9.0,10.0,0,5,9.25,4.5
Bélgica,6.0,6.0,5.0,2.0,4.0,2.0,6.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,9.0,6.0,0,0,7.75,0.0
Bélgica,8.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,8.0,5.0,6.0,8.0,6.0,0,0,4.75,0.0
Bélgica,7.0,5.0,5.0,1.0,5.0,2.0,8.0,3.0,5.0,2.0,5.0,2.0,4.0,5.0,5.0,8.0,7.0,7.0,2.0,0,0,10.75,0.5
Bélgica,5.0,1.0,7.0,1.0,2.0,1.0,7.0,8.0,5.0,10.0,8.0,8.0,10.0,5.0,6.0,9.0,8.0,7.0,7.0,0,2,4.5,3.75
Bélgica,10.0,2.0,2.0,2.0,10.0,1.0,3.0,10.0,8.0,8.0,8.0,6.0,8.0,5.0,8.0,0.0,4.0,10.0,10.0,0,0,1.5,9.25
Bélgica,10.0,0.0,0.0,4.0,1.0,1.0,10.0,6.0,10.0,0.0,10.0,6.0,10.0,5.0,8.0,0.0,2.0,9.0,10.0,0,0,1.5,15.25
Bélgica,0.0,2.0,4.0,1.0,1.0,1.0,4.0,7.0,7.0,10.0,2.0,7.0,10.0,5.0,0.0,1.0,0.0,8.0,5.0,0,0,3.0,8.25
Bélgica,4.0,2.0,6.0,1.0,3.0,4.0,6.0,5.0,6.0,5.0,5.0,3.0,6.0,5.0,8.0,3.0,4.0,10.0,7.0,0,0,6.0,2.25
Bélgica,4.0,4.0,8.0,1.0,5.0,4.0,2.0,9.0,4.0,5.0,9.0,8.0,5.0,5.0,5.0,5.0,3.0,7.0,9.0,0,1,9.0,0.75
Bélgica,9.0,7.0,9.0,3.0,6.0,2.0,6.0,8.0,6.0,6.0,6.0,6.0,9.0,5.0,7.0,9.0,8.0,10.0,3.0,0,0,2.25,1.5
Bélgica,4.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,1.0,3.0,5.0,8.0,7.0,8.0,8.0,0.0,0,0,4.75,2.0
Bélgica,10.0,5.0,5.0,2.0,5.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0,9.0,5.0,10.0,10.0,0,1,9.0,15.25
Bélgica,3.0,0.0,1.0,3.0,0.0,4.0,2.0,0.0,6.0,6.0,3.0,5.0,6.0,5.0,8.0,0.0,0.0,10.0,0.0,0,0,3.5,10.75
Bélgica,8.0,7.0,3.0,4.0,4.0,3.0,7.0,7.0,9.0,7.0,8.0,6.0,7.0,5.0,8.0,2.0,7.0,7.0,7.0,0,0,1.75,0.0
Bélgica,6.0,6.0,6.0,1.0,5.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,1.0,2.0,9.0,0.0,0,2,10.75,2.0
Bélgica,7.0,9.0,7.0,2.0,9.0,2.0,10.0,6.0,8.0,6.0,5.0,8.0,9.0,5.0,9.0,7.0,7.0,8.0,0.0,0,0,3.25,3.0
Bélgica,4.0,4.0,1.0,2.0,4.0,2.0,6.0,4.0,5.0,3.0,4.0,3.0,8.0,5.0,5.0,7.0,4.0,3.0,10.0,0,0,4.75,1.5
Bélgica,1.0,6.0,0.0,1.0,5.0,3.0,2.0,6.0,2.0,2.0,1.0,4.0,5.0,5.0,8.0,0.0,6.0,3.0,2.0,0,0,4.75,3.5
Bélgica,6.0,3.0,5.0,1.0,6.0,2.0,6.0,6.0,6.0,5.0,7.0,6.0,8.0,5.0,5.0,3.0,4.0,8.0,8.0,0,0,6.25,0.5
Bélgica,8.0,1.0,7.0,2.0,5.0,3.0,8.0,8.0,7.0,6.0,7.0,6.0,8.0,5.0,9.0,3.0,5.0,7.0,5.0,0,0,6.25,0.0
Bélgica,10.0,0.0,6.0,1.0,0.0,1.0,8.0,5.0,7.0,8.0,7.0,7.0,8.0,5.0,9.0,8.0,5.0,8.0,0.0,0,0,4.5,6.75
Bélgica,4.0,2.0,6.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,9.0,7.0,5.0,6.0,3.0,0,0,3.0,0.25
Bélgica,6.0,4.0,7.0,4.0,3.0,3.0,5.0,6.0,6.0,5.0,7.0,4.0,6.0,5.0,9.0,4.0,6.0,10.0,5.0,0,0,6.25,1.5
Bélgica,8.0,8.0,8.0,1.0,5.0,3.0,5.0,7.0,7.0,5.0,7.0,4.0,4.0,5.0,5.0,5.0,4.0,8.0,6.0,0,1,9.25,0.5
Bélgica,5.0,5.0,7.0,2.0,5.0,1.0,0.0,6.0,6.0,6.0,5.0,2.0,3.0,5.0,0.0,5.0,4.0,10.0,0.0,0,1,9.0,6.25
Bélgica,7.0,4.0,7.0,4.0,5.0,1.0,8.0,3.0,8.0,7.0,5.0,7.0,8.0,5.0,4.0,5.0,5.0,9.0,0.0,0,2,7.5,1.75
Bélgica,5.0,5.0,5.0,3.0,4.0,2.0,5.0,6.0,6.0,8.0,7.0,5.0,7.0,5.0,7.0,3.0,4.0,8.0,10.0,0,0,9.75,1.5
Bélgica,5.0,3.0,3.0,2.0,6.0,3.0,7.0,7.0,7.0,5.0,5.0,6.0,7.0,5.0,8.0,5.0,3.0,10.0,2.0,0,0,7.75,1.5
Bélgica,6.0,2.0,6.0,1.0,4.0,4.0,8.0,3.0,6.0,6.0,8.0,5.0,5.0,5.0,5.0,4.0,5.0,8.0,2.0,0,1,7.5,0.75
Bélgica,0.0,1.0,1.0,1.0,5.0,4.0,7.0,6.0,4.0,2.0,10.0,0.0,5.0,5.0,7.0,5.0,5.0,10.0,5.0,0,5,9.0,6.75
Bélgica,4.0,2.0,6.0,1.0,5.0,3.0,7.0,7.0,5.0,7.0,4.0,5.0,6.0,5.0,4.0,7.0,5.0,8.0,6.0,0,1,7.75,0.5
Bélgica,0.0,0.0,0.0,1.0,8.0,4.0,7.0,6.0,5.0,0.0,0.0,5.0,5.0,5.0,1.0,5.0,5.0,7.0,3.0,0,6,9.0,8.25
Bélgica,5.0,8.0,0.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,0,0,19.5,1.75
Bélgica,5.0,5.0,0.0,1.0,5.0,2.0,7.0,7.0,8.0,5.0,5.0,5.0,7.0,5.0,8.0,6.0,6.0,7.0,5.0,0,0,12.25,2.0
Bélgica,8.0,5.0,7.0,1.0,5.0,3.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,5.0,6.0,8.0,7.0,7.0,8.0,0,0,4.75,0.5
Bélgica,5.0,8.0,8.0,1.0,5.0,3.0,9.0,8.0,9.0,5.0,9.0,5.0,7.0,5.0,9.0,8.0,5.0,10.0,10.0,0,0,9.25,3.5
Bélgica,3.0,3.0,1.0,3.0,4.0,1.0,7.0,5.0,5.0,3.0,5.0,3.0,8.0,5.0,7.0,6.0,5.0,4.0,0.0,0,0,8.0,1.75
Bélgica,4.0,6.0,4.0,2.0,7.0,3.0,8.0,3.0,5.0,4.0,7.0,3.0,6.0,5.0,0.0,7.0,5.0,7.0,4.0,0,2,4.75,1.5
Bélgica,5.0,4.0,5.0,3.0,4.0,2.0,5.0,7.0,5.0,2.0,4.0,5.0,5.0,5.0,8.0,5.0,8.0,8.0,5.0,0,2,14.25,0.0
Bélgica,7.0,4.0,3.0,1.0,6.0,2.0,6.0,6.0,7.0,6.0,7.0,4.0,7.0,5.0,8.0,4.0,4.0,8.0,7.0,0,0,1.75,0.5
Bélgica,3.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,6.0,9.0,7.0,3.0,0,0,2.25,0.0
Bélgica,5.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,0.0,5.0,5.0,9.0,1.0,3.0,7.0,0.0,0,0,12.0,3.25
