cntry,pplfair,pplhlp,ppltrst,lw_pnd,lrscale,polintr,stfdem,stfeco,stfgov,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,contadornegativo,ContadorNeutro,ContadorPositivo
España,5.0,5.0,3.0,3.0,6.0,4.0,6.0,3.0,6.0,6.0,8.0,4.0,6.0,0.0,9.0,5.0,5.0,5.0,8.0,1,0,8.0,1.75
España,6.0,4.0,5.0,2.0,5.0,4.0,6.0,6.0,4.0,3.0,5.0,4.0,5.0,0.0,0.0,6.0,5.0,7.0,5.0,1,0,9.0,3.25
España,7.0,5.0,6.0,3.0,8.0,4.0,5.0,7.0,5.0,5.0,5.0,3.0,5.0,0.0,6.0,5.0,8.0,9.0,4.0,1,2,11.0,1.75
España,5.0,3.0,6.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,8.0,5.0,8.0,0.0,7.0,5.0,6.0,9.0,9.0,1,3,11.25,1.5
España,5.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,6.0,3.0,5.0,0.0,8.0,2.0,2.0,6.0,6.0,1,2,6.5,1.75
España,7.0,7.0,7.0,4.0,5.0,3.0,8.0,8.0,8.0,5.0,8.0,5.0,8.0,0.0,7.0,7.0,5.0,8.0,7.0,1,0,6.25,1.5
España,4.0,3.0,3.0,2.0,7.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,0.0,8.0,3.0,2.0,8.0,8.0,1,1,7.75,1.5
España,6.0,3.0,2.0,2.0,6.0,3.0,4.0,3.0,5.0,3.0,10.0,2.0,5.0,0.0,9.0,0.0,0.0,6.0,5.0,1,0,4.75,6.0
España,5.0,5.0,4.0,2.0,2.0,3.0,2.0,6.0,4.0,5.0,7.0,4.0,5.0,0.0,8.0,5.0,5.0,8.0,4.0,1,1,9.25,1.5
España,5.0,10.0,6.0,3.0,10.0,3.0,10.0,10.0,10.0,6.0,10.0,10.0,10.0,0.0,7.0,8.0,5.0,10.0,10.0,1,0,3.75,16.5
España,6.0,7.0,5.0,2.0,5.0,4.0,5.0,5.0,7.0,4.0,7.0,2.0,6.0,0.0,8.0,6.0,2.0,7.0,7.0,1,0,6.0,1.75
España,10.0,3.0,6.0,3.0,3.0,4.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,1,0,0.5,19.75
España,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,8.0,0.0,5.0,0.0,5.0,5.0,5.0,8.0,0.0,1,15,18.25,4.5
España,7.0,6.0,7.0,3.0,5.0,3.0,7.0,8.0,8.0,7.0,7.0,0.0,5.0,0.0,7.0,6.0,1.0,8.0,5.0,1,4,5.25,3.0
España,8.0,7.0,10.0,2.0,2.0,3.0,7.0,7.0,7.0,0.0,8.0,5.0,5.0,0.0,8.0,5.0,6.0,7.0,2.0,1,0,4.75,4.5
España,5.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,8.0,0.0,5.0,0.0,9.0,5.0,5.0,8.0,0.0,1,15,16.75,4.5
España,5.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,8.0,0.0,5.0,0.0,10.0,5.0,5.0,8.0,0.0,1,15,16.5,6.75
