iter	MultiClass
0	1.072244983
1	1.049357037
2	1.0272987
3	1.01150604
4	0.9963257023
5	0.9837755432
6	0.9721323858
7	0.9623466851
8	0.9534670166
9	0.945702148
10	0.9384948164
11	0.9321376993
12	0.9262693074
13	0.921521809
14	0.9165814562
15	0.9128151675
16	0.9090819935
17	0.9066580135
18	0.9038447999
19	0.9010481705
20	0.8985393898
21	0.8957598112
22	0.893528689
23	0.8929612153
24	0.8904375446
25	0.8888424279
26	0.8876424506
27	0.8856135037
28	0.8829844535
29	0.8809587127
30	0.8784217388
31	0.8771849372
32	0.8756846694
33	0.8739284404
34	0.8709597153
35	0.868311354
36	0.8660744749
37	0.8647290098
38	0.8629228475
39	0.8609930647
40	0.8594416131
41	0.856570452
42	0.8549928557
43	0.852232521
44	0.850561732
45	0.8496124197
46	0.8477922505
47	0.8465706308
48	0.8455375187
49	0.8443135936
50	0.8428320499
51	0.8413286296
52	0.8392289472
53	0.837798614
54	0.8362212454
55	0.8343992682
56	0.8334063153
57	0.8321966914
58	0.8303945846
59	0.8291093179
60	0.8276488131
61	0.8258517815
62	0.824229694
63	0.822727843
64	0.8216325909
65	0.8207732175
66	0.8196323557
67	0.8182220514
68	0.8171319133
69	0.8161108006
70	0.814778384
71	0.8130258863
72	0.8117638589
73	0.8105670433
74	0.8093566153
75	0.8083597645
76	0.8068830886
77	0.805731588
78	0.8040368534
79	0.8029921085
80	0.8017678655
81	0.8010040539
82	0.8004312716
83	0.7988399995
84	0.7971158721
85	0.7954269356
86	0.7945554213
87	0.7935088283
88	0.7927303944
89	0.7913968913
90	0.7904895051
91	0.789465849
92	0.7887501778
93	0.788098272
94	0.78691238
95	0.78595415
96	0.7844809033
97	0.7833966947
98	0.7817198181
99	0.7803182142
100	0.779175371
101	0.7779097042
102	0.7766182595
103	0.7756770348
104	0.7742951448
105	0.7734996691
106	0.7723881563
107	0.7706421826
108	0.7693986169
109	0.7686756005
110	0.7675333879
111	0.765981692
112	0.76453115
113	0.7637677456
114	0.762541674
115	0.7618148105
116	0.7606098568
117	0.7591654556
118	0.757785852
119	0.7569737294
120	0.7556393075
121	0.7536600393
122	0.7523603327
123	0.7513157308
124	0.7503063739
125	0.7489716168
126	0.7476394063
127	0.7464799842
128	0.7452230642
129	0.7438628017
130	0.7426407362
131	0.7412424932
132	0.7404150446
133	0.7390950335
134	0.7379802231
135	0.7363943397
136	0.7354311572
137	0.7339112892
138	0.732596304
139	0.7312107185
140	0.7300442851
141	0.7290559497
142	0.7277038967
143	0.7265757852
144	0.7254874276
145	0.7243114713
146	0.7232274763
147	0.7222540777
148	0.72150317
149	0.7202208631
150	0.7191251329
151	0.7182086444
152	0.7173044099
153	0.7161310769
154	0.7153934807
155	0.7142051856
156	0.7127663092
157	0.7116536052
158	0.7107705534
159	0.7094038394
160	0.7082266026
161	0.7076246005
162	0.70642676
163	0.7055088118
164	0.7042539493
165	0.703213823
166	0.7024943853
167	0.7011258978
168	0.7000295458
169	0.6985291344
170	0.6974416456
171	0.6962556849
172	0.6953641843
173	0.6947525312
174	0.6938325867
175	0.6931837506
176	0.6919642797
177	0.6909516532
178	0.6896145043
179	0.6886936541
180	0.6873593949
181	0.6862984818
182	0.6851697065
183	0.6841046724
184	0.6830627983
185	0.682215986
186	0.6810090959
187	0.6796376282
188	0.6788803665
189	0.6781235403
190	0.6767120906
191	0.6757944805
192	0.6749520637
193	0.6739674689
194	0.6727687163
195	0.6721185449
196	0.6714723175
197	0.6699196108
198	0.668850914
199	0.6679501137
200	0.6666323767
201	0.6655455807
202	0.6642963361
203	0.6633876313
204	0.6626170556
205	0.6620972654
206	0.6607125943
207	0.6598526727
208	0.6584141658
209	0.6568699866
210	0.6560939732
211	0.655441557
212	0.6545676686
213	0.653578486
214	0.652688449
215	0.65203042
216	0.6513199285
217	0.6501252635
218	0.6494387208
219	0.6489369646
220	0.6481334387
221	0.6473355569
222	0.6466629803
223	0.6460488319
224	0.6453209551
225	0.6445178392
226	0.6438679512
227	0.643124486
228	0.6423494559
229	0.6412979705
230	0.6406033205
231	0.6396116962
232	0.6390460757
233	0.6382804557
234	0.6375406666
235	0.6365223872
236	0.6356008243
237	0.6343953943
238	0.6334042914
239	0.6325753472
240	0.6317334154
241	0.6309855561
242	0.6303831971
243	0.6293433232
244	0.6281941182
245	0.6268854349
246	0.626260896
247	0.6255165304
248	0.6248048585
249	0.6238793177
250	0.6232439366
251	0.6225204637
252	0.6221213398
253	0.6211371105
254	0.620548849
255	0.6198686338
256	0.6191684803
257	0.6184265101
258	0.6174949787
259	0.6167343591
260	0.6160015146
261	0.6154738834
262	0.6147574629
263	0.6139932118
264	0.6129550855
265	0.6120019383
266	0.6110108298
267	0.6101115493
268	0.609461896
269	0.6085080641
270	0.607559706
271	0.6069900729
272	0.6059670695
273	0.6052970647
274	0.604437427
275	0.6037626922
276	0.6031185772
277	0.6025677058
278	0.6021369511
279	0.6009354876
280	0.6003012122
281	0.5995294335
282	0.5987560949
283	0.5981852295
284	0.5975675585
285	0.5966689033
286	0.5959803063
287	0.5953031788
288	0.5947754901
289	0.5941955579
290	0.5936228098
291	0.5930864985
292	0.5927489507
293	0.591921928
294	0.591007556
295	0.590561689
296	0.5898195341
297	0.5889604819
298	0.5881048525
299	0.5874191883
300	0.5866441751
301	0.5862078271
302	0.5854495531
303	0.5846336259
304	0.5839522099
305	0.583458316
306	0.5827482579
307	0.5820249455
308	0.5812004629
309	0.5806070457
310	0.5800556585
311	0.5795947454
312	0.5786751807
313	0.5781266999
314	0.5774855492
315	0.5767443223
316	0.5759419891
317	0.5753659583
318	0.5745496837
319	0.5737541875
320	0.572981506
321	0.5720906488
322	0.5716646763
323	0.57079017
324	0.5703731213
325	0.5692109888
326	0.5685599916
327	0.5680025518
328	0.5669082659
329	0.5661798955
330	0.5653644268
331	0.5648874113
332	0.5638121458
333	0.5634250369
334	0.5624012242
335	0.5617407126
336	0.5610187087
337	0.5604064446
338	0.5592596649
339	0.5585657866
340	0.5580903937
341	0.5574955852
342	0.5570915621
343	0.5566129191
344	0.5556840506
345	0.5552665425
346	0.5549257387
347	0.554429655
348	0.5536071563
349	0.5528171872
350	0.5523275221
351	0.5517269139
352	0.5514400135
353	0.5509647163
354	0.5501345391
355	0.549601337
356	0.5488547832
357	0.5483773897
358	0.5479349856
359	0.547403753
360	0.5467744582
361	0.5463125654
362	0.5456918026
363	0.5447625108
364	0.5442265079
365	0.5438310964
366	0.5430350578
367	0.5422859825
368	0.5417140005
369	0.541003664
370	0.5404208126
371	0.5397974244
372	0.5389660706
373	0.5378593931
374	0.5369242487
375	0.53599635
376	0.5355332737
377	0.5348964137
378	0.5344572933
379	0.5339357277
380	0.5334369659
381	0.5328000338
382	0.5319631803
383	0.5313316814
384	0.5308763795
385	0.5302399541
386	0.5294006572
387	0.5285370483
388	0.5278587502
389	0.5271503579
390	0.5267009205
391	0.526211623
392	0.5254903163
393	0.524685888
394	0.5240220879
395	0.5236264032
396	0.5230878377
397	0.5225671098
398	0.5219026357
399	0.5214627305
400	0.5206093105
401	0.5200069041
402	0.519317126
403	0.5187099835
404	0.5182000915
405	0.5177138176
406	0.5172981105
407	0.5165385688
408	0.5161210199
409	0.5155265702
410	0.5150674875
411	0.5141035826
412	0.5135431197
413	0.5131606108
414	0.5125348517
415	0.5119754843
416	0.5116874567
417	0.5112670428
418	0.5104810686
419	0.5101690298
420	0.5096491758
421	0.5092503127
422	0.5087737311
423	0.50834362
424	0.5079380043
425	0.5070734618
426	0.5064164424
427	0.5059563392
428	0.5055023829
429	0.5048669675
430	0.5039668192
431	0.5034920511
432	0.5029183905
433	0.5022849657
434	0.5015753698
435	0.5009227247
436	0.5003583839
437	0.4997522156
438	0.4992792019
439	0.4985034223
440	0.4979382503
441	0.4973853301
442	0.4971001625
443	0.4965295974
444	0.4958849607
445	0.4953775106
446	0.494696213
447	0.4944357422
448	0.4937608275
449	0.4928590646
450	0.4922543564
451	0.4915747277
452	0.4911229637
453	0.4900960866
454	0.4895822726
455	0.489098238
456	0.4887047377
457	0.4882294124
458	0.4875247569
459	0.4869275805
460	0.4863892471
461	0.4858200832
462	0.4852361678
463	0.4848699487
464	0.4844548776
465	0.4840797339
466	0.4836242438
467	0.4829480871
468	0.4824209367
469	0.4818308857
470	0.4813546282
471	0.4806123961
472	0.4801050674
473	0.4793872319
474	0.4784947958
475	0.4781224669
476	0.4774794841
477	0.476993345
478	0.4767018206
479	0.4759618981
480	0.4754241969
481	0.4750065893
482	0.4743753181
483	0.473878134
484	0.4734690439
485	0.4727159414
486	0.4721882346
487	0.471471793
488	0.4710085442
489	0.4704639766
490	0.4698895487
491	0.4693335381
492	0.468424844
493	0.4679981551
494	0.4674408074
495	0.4666631361
496	0.4664193473
497	0.4659753973
498	0.4653898486
499	0.4646864964
500	0.4641921031
501	0.4640032235
502	0.4633970477
503	0.4627928833
504	0.4623972091
505	0.4619123591
506	0.4611623745
507	0.4604652186
508	0.4601171966
509	0.4598236059
510	0.4593665686
511	0.4588694777
512	0.4584056376
513	0.4579769053
514	0.4573677038
515	0.4567730528
516	0.4561009305
517	0.4554955113
518	0.4550706491
519	0.4545741675
520	0.4540602884
521	0.4536450746
522	0.453269025
523	0.4528776585
