,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
879,0.0,0.0,0.3478355554480146,0.5002830936473686,0.5,0.16666666666666669,0.8857142857142857,0.16786570743405274,0.0,0.5178082191780822
44383,0.6666666666666666,0.4583333333333333,0.5005686355167285,0.6323557166043656,0.0,0.9999999999999999,0.0,0.17026378896882494,0.0,0.2
15394,0.3333333333333333,0.07291666666666666,0.6324436808865812,0.4768995583739013,0.0,0.08333333333333333,0.24285714285714285,0.10071942446043165,0.0,0.0
43230,0.3333333333333333,0.44791666666666663,0.502915769351759,0.4385120597893888,0.5,0.08333333333333333,0.07142857142857142,0.44844124700239807,1.0,0.7452054794520548
16332,0.3333333333333333,0.041666666666666664,0.7181503617489682,0.585022458762694,0.5,0.08333333333333333,0.42857142857142855,0.1894484412470024,0.0,0.0821917808219178
5966,0.0,0.125,0.5013429477097304,0.5450307628430267,0.5,0.0,1.0,0.7290167865707434,0.0,0.07671232876712329
29838,0.0,0.125,0.5146030440148053,0.5313101574000711,0.0,0.3333333333333333,0.014285714285714285,0.011990407673860911,0.0,0.0
41764,0.6666666666666666,1.0,0.6493091683403094,0.7500660551843907,0.5,0.9999999999999999,0.0,0.17026378896882494,0.0,0.3315068493150685
11118,0.3333333333333333,0.28125,0.5380259878529898,0.4622353074396983,0.5,0.08333333333333333,1.0,0.4628297362110312,0.0,0.1506849315068493
31800,1.0,1.0,0.7611972802284157,0.7834333597554064,0.5,0.08333333333333333,0.5285714285714286,0.6282973621103117,1.0,0.1917808219178082
44211,0.6666666666666666,0.8645833333333333,0.6073269291262307,0.6857660514098143,1.0,0.0,0.05714285714285714,0.5035971223021583,1.0,0.9698630136986301
31732,0.6666666666666666,1.0,0.5163694437050736,0.641112746763298,0.0,0.08333333333333333,0.0,0.17026378896882494,0.0,1.0
5990,0.3333333333333333,0.19791666666666666,0.5444140634452168,0.500396331106316,0.5,0.16666666666666669,0.17142857142857143,0.047961630695443645,0.0,0.010958904109589041
13153,0.0,0.03125,0.46879763834782295,0.5190238931038493,0.0,0.0,0.02857142857142857,0.00959232613908873,0.0,0.0
24650,0.0,0.13541666666666666,0.4558037118590903,0.5040199297927757,0.5,0.9999999999999999,0.07142857142857142,0.047961630695443645,0.0,0.0
19825,0.3333333333333333,0.7083333333333333,0.5635056984537954,0.49118635111162234,0.0,0.16666666666666669,0.014285714285714285,0.004796163069544364,0.0,0.0
45050,0.0,0.0625,0.46245795726764527,0.56186539840715,0.5,0.9999999999999999,0.05714285714285714,0.5611510791366907,0.0,0.3643835616438356
24017,0.3333333333333333,0.28125,0.5482130326420958,0.45270448797796803,0.0,0.0,0.014285714285714285,0.007194244604316547,0.0,0.0
32814,0.0,0.20833333333333331,0.5446560360055201,0.5539765221001858,0.5,0.0,0.08571428571428572,0.11750599520383694,0.0,0.016438356164383564
3290,0.3333333333333333,0.08333333333333333,0.6809833764851021,0.48714754840901264,0.5,0.0,0.0,0.17026378896882494,0.0,0.0
41958,1.0,1.0,0.8596317177631931,0.6614388706450711,0.0,0.08333333333333333,0.39999999999999997,1.0,0.0,0.23013698630136986
5522,0.3333333333333333,0.020833333333333332,0.7382582815108805,0.5383686256747069,0.5,0.0,0.014285714285714285,0.0023980815347721825,0.0,0.0
2757,0.0,0.125,0.5200474266218151,0.5707167931151673,0.5,0.0,1.0,0.29256594724220625,0.0,0.7452054794520548
708,0.3333333333333333,0.11458333333333333,0.5559077600599949,0.4496093307666058,0.5,0.49999999999999994,0.15714285714285714,0.026378896882494007,0.0,0.0
11972,0.3333333333333333,0.23958333333333331,0.5388970890700904,0.478333899520635,0.5,0.16666666666666669,0.0,0.17026378896882494,0.0,0.0
38717,0.3333333333333333,0.8020833333333333,0.521208894911311,0.44598573208017456,0.5,0.9999999999999999,0.0,0.17026378896882494,1.0,0.10410958904109589
47735,1.0,0.75,0.7981464901880031,0.612463669648605,0.0,0.16666666666666669,0.0,0.17026378896882494,0.0,0.4438356164383562
13963,0.0,0.7916666666666666,0.2654922931739634,0.5028309364737709,1.0,0.0,0.21428571428571427,0.10071942446043165,1.0,0.4931506849315069
7029,0.0,0.125,0.5064001742202322,0.5263465821160196,0.0,0.0,0.4714285714285714,0.657074340527578,0.0,0.052054794520547946
37282,0.3333333333333333,0.020833333333333332,0.7699324896556732,0.5686030272147491,0.0,0.9999999999999999,0.02857142857142857,0.08872901678657075,1.0,0.673972602739726
6720,0.3333333333333333,0.19791666666666666,0.5450189948459752,0.5018117993432156,0.0,0.08333333333333333,0.07142857142857142,0.031175059952038377,0.0,0.0
8479,0.6666666666666666,1.0,0.22793815181358923,0.8415807949269549,0.5,0.0,0.9571428571428571,0.3189448441247003,0.0,0.9424657534246575
4273,0.0,0.20833333333333331,0.545914293319143,0.5689993583210651,0.5,0.9999999999999999,0.04285714285714286,0.00959232613908873,1.0,0.9205479452054794
17483,0.3333333333333333,0.19791666666666666,0.5526895250078638,0.4960555618465321,0.0,0.0,1.0,1.0,0.0,0.23013698630136986
25290,0.0,0.3020833333333333,0.42722675248626274,0.5128147057713477,0.5,0.08333333333333333,0.12857142857142856,0.09112709832134293,0.0,0.0
15838,0.0,0.125,0.5154015534638319,0.5283282376476848,0.0,0.08333333333333333,0.08571428571428572,0.03597122302158274,0.0,0.0
23716,0.3333333333333333,0.3125,0.8327243690565496,0.5719624051636174,0.5,0.3333333333333333,0.15714285714285714,0.11031175059952038,0.0,0.06027397260273973
47262,0.3333333333333333,0.07291666666666666,0.6205628281752809,0.4704638961235048,0.0,0.9999999999999999,0.0,0.17026378896882494,0.0,0.684931506849315
37714,0.3333333333333333,0.23958333333333331,0.5378566070607604,0.48237270222321627,0.5,0.0,0.15714285714285714,0.34772182254196643,0.0,0.0
42436,0.0,0.6979166666666666,0.20683814455441052,0.5173819499490548,1.0,0.7499999999999999,0.0,0.17026378896882494,1.0,0.0
41724,0.3333333333333333,0.041666666666666664,0.7557770948774447,0.576246555693956,0.5,0.16666666666666669,0.22857142857142856,0.9736211031175062,0.0,0.0
16248,0.3333333333333333,0.020833333333333332,0.7706826045926363,0.5586192579172007,0.5,0.08333333333333333,0.4857142857142857,0.23261390887290168,0.0,0.2054794520547945
36070,0.0,0.21875,0.48750211725989345,0.6078586796512297,0.0,0.9999999999999999,0.02857142857142857,0.06954436450839328,1.0,1.0
28613,0.3333333333333333,0.08333333333333333,0.6684733951169903,0.4803533008719114,0.5,0.9999999999999999,0.05714285714285714,0.1486810551558753,1.0,0.9945205479452055
21100,0.3333333333333333,0.020833333333333332,0.730587751349006,0.5425395387460696,0.0,0.0,1.0,1.0,0.3333333333333333,0.08767123287671233
26812,0.3333333333333333,0.6666666666666666,0.538751905533914,0.4685011135017021,0.5,0.0,0.12857142857142856,0.17745803357314147,0.0,0.0
24775,0.3333333333333333,0.23958333333333331,0.5272824061751464,0.49145057184915686,0.0,0.3333333333333333,0.2857142857142857,0.1990407673860911,0.0,0.0
41870,0.3333333333333333,0.44791666666666663,0.49500326662956695,0.44083342769789624,0.5,0.3333333333333333,0.22857142857142856,0.9040767386091128,0.0,0.8164383561643835
16492,0.3333333333333333,0.020833333333333332,0.7545430348198465,0.5518250103800995,0.5,0.0,0.07142857142857142,0.02877697841726619,0.0,0.0
29144,0.3333333333333333,0.010416666666666666,0.613884385510687,0.5235345185520544,0.0,0.08333333333333333,1.0,1.0,0.0,0.13424657534246576
19378,0.0,0.15625,0.41527330800687423,0.5971766126901628,0.5,0.9999999999999999,0.0,0.17026378896882494,0.0,0.0
39079,0.3333333333333333,0.07291666666666666,0.6202240665908505,0.4699165817385733,0.5,0.25,0.02857142857142857,0.1223021582733813,0.3333333333333333,0.0
9192,0.0,0.16666666666666666,0.4089578241827354,0.49862227758276845,0.0,0.0,1.0,0.9232613908872902,1.0,0.0
25853,0.3333333333333333,0.07291666666666666,0.6418806107387383,0.4853734948854367,0.0,0.16666666666666669,0.08571428571428572,0.09592326139088729,1.0,0.6164383561643836
32361,0.3333333333333333,0.07291666666666666,0.6278220049846368,0.4701241837466341,0.5,0.0,0.9,1.0,0.0,0.9780821917808219
10814,0.3333333333333333,0.7395833333333333,0.6319355385099357,0.48346733099307926,0.0,0.08333333333333333,0.04285714285714286,0.01678657074340528,0.0,0.0
45047,0.0,0.21875,0.47027367096571027,0.6003095157211362,0.5,0.08333333333333333,0.09999999999999999,0.7961630695443646,0.0,0.010958904109589041
27026,0.0,0.35416666666666663,0.4102402787523971,0.47421960517871753,0.5,0.16666666666666669,1.0,0.8081534772182254,0.0,0.27123287671232876
26938,0.6666666666666666,0.26041666666666663,0.6198369104943424,0.5890235156456356,0.0,0.49999999999999994,0.014285714285714285,0.011990407673860911,0.3333333333333333,0.09315068493150686
31396,0.0,0.21875,0.45698937740461076,0.6317706563997945,0.5,0.25,0.5714285714285714,0.6690647482014388,0.0,0.10410958904109589
4883,0.6666666666666666,1.0,0.582790911510628,0.6478881213905652,0.0,0.9999999999999999,0.0,0.17026378896882494,1.0,0.9643835616438357
21856,0.0,0.21875,0.49744718948871025,0.6171064054655915,0.0,0.0,0.24285714285714285,0.23021582733812948,0.0,0.0
42275,0.6666666666666666,0.38541666666666663,0.6235148934110839,0.8194051258823265,0.5,0.25,0.0,0.17026378896882494,0.0,1.0
3939,0.3333333333333333,0.020833333333333332,0.7832651777288362,0.5679236024610361,0.0,0.16666666666666669,0.04285714285714286,0.00959232613908873,0.3333333333333333,0.4876712328767123
16671,0.0,0.22916666666666666,0.34185883320832033,0.5465594685388737,0.0,0.25,0.04285714285714286,0.01678657074340528,0.3333333333333333,0.0
15952,0.3333333333333333,0.14583333333333331,0.6064316306530912,0.4679726720265762,0.5,0.0,0.02857142857142857,0.00959232613908873,0.0,0.0
2210,0.6666666666666666,0.5833333333333333,0.6184334696445433,0.6159551579662548,0.0,0.25,1.0,0.22062350119904078,0.3333333333333333,0.473972602739726
6735,0.0,1.0,0.4270331744380229,0.44653304646510605,0.0,0.0,0.8285714285714285,0.2733812949640288,0.0,0.2410958904109589
14115,0.0,0.15625,0.41791080891427157,0.5719246593439777,0.5,0.16666666666666669,1.0,0.7410071942446044,0.0,0.936986301369863
24897,0.0,1.0,0.4311709052193464,0.4434756350734119,0.5,0.0,0.15714285714285714,0.11510791366906475,0.3333333333333333,0.9123287671232877
7976,0.0,0.0625,0.4572313499649141,0.6021968067036596,0.0,0.08333333333333333,0.5571428571428572,0.20383693045563547,0.6666666666666667,0.27123287671232876
14064,0.0,0.03125,0.4450117356691834,0.5242894349450751,0.5,0.3333333333333333,0.014285714285714285,0.0023980815347721825,0.0,0.0
6196,0.0,0.7916666666666666,0.28061557819343363,0.47406862190013044,0.0,0.08333333333333333,0.05714285714285714,0.014388489208633096,0.3333333333333333,0.0
36918,0.6666666666666666,1.0,0.6533501100975059,0.700222700335928,0.5,0.0,0.41428571428571426,0.7937649880095923,0.0,0.9863013698630138
12566,0.0,0.21875,0.4949306748614646,0.5970067565017132,0.0,0.16666666666666669,0.08571428571428572,0.031175059952038377,0.0,0.0
19013,0.3333333333333333,0.23958333333333331,0.5322428436615212,0.48459970558261034,0.5,0.0,0.02857142857142857,0.011990407673860911,0.0,0.0
13958,0.0,0.16666666666666666,0.4173058775134848,0.5082097157740009,0.5,0.3333333333333333,0.22857142857142856,0.09352517985611512,0.0,0.030136986301369864
147,0.3333333333333333,0.19791666666666666,0.541413603697336,0.4905069263579094,0.5,0.16666666666666669,0.42857142857142855,0.06474820143884893,0.0,0.6794520547945205
24158,0.6666666666666666,0.65625,0.5676192319790943,0.7410448042879239,0.5,0.16666666666666669,0.12857142857142856,0.09112709832134293,1.0,0.0
24380,0.6666666666666666,0.38541666666666663,0.649430154620461,0.7836975804929693,0.5,0.0,1.0,0.8417266187050361,0.0,0.4136986301369863
21848,0.0,0.16666666666666666,0.4439470564038004,0.49992450836072067,0.5,0.4166666666666667,0.09999999999999999,0.08393285371702638,0.0,0.11506849315068493
30012,0.0,0.0625,0.4585138045345616,0.5424829200165959,0.0,0.0,0.7571428571428571,0.7865707434052758,1.0,0.7232876712328767
19761,0.6666666666666666,0.4583333333333333,0.502238246182884,0.6594572151134344,0.0,0.49999999999999994,0.0,0.17026378896882494,0.0,0.24383561643835616
33544,0.3333333333333333,0.11458333333333333,0.5674256539308402,0.44913750802098207,0.5,0.16666666666666669,0.08571428571428572,0.1223021582733813,0.0,0.0
20021,0.3333333333333333,0.29166666666666663,0.6794831466111759,0.5493337862831709,0.5,0.9999999999999999,0.12857142857142856,0.06474820143884893,0.0,0.0
43816,0.0,0.375,0.45623926246763347,0.46040463518664865,0.5,0.08333333333333333,0.07142857142857142,0.5515587529976019,0.0,0.1178082191780822
11478,0.0,0.20833333333333331,0.5633847121736295,0.5487487260785997,0.5,0.0,0.02857142857142857,0.00959232613908873,0.0,0.0
35465,0.6666666666666666,0.5104166666666666,0.6748856679652562,0.6295059072207891,0.5,0.25,0.02857142857142857,0.04316546762589928,0.0,0.07123287671232877
21327,0.3333333333333333,0.14583333333333331,0.5882594913736767,0.4707092439512337,0.0,0.0,0.014285714285714285,0.004796163069544364,0.0,0.0
14564,0.3333333333333333,0.020833333333333332,0.7953880030004541,0.5547880572226518,0.0,0.0,0.02857142857142857,0.052757793764988015,0.6666666666666667,0.9095890410958904
20705,0.0,0.15625,0.42456505432284075,0.5841543049107258,0.0,0.08333333333333333,1.0,0.9592326139088729,1.0,0.9095890410958904
20273,0.3333333333333333,0.041666666666666664,0.7252643550221478,0.5760200807760611,0.5,0.16666666666666669,0.05714285714285714,0.03836930455635492,0.0,0.019178082191780823
36934,0.3333333333333333,0.020833333333333332,0.7835555448012173,0.572962669384367,0.5,0.0,0.24285714285714285,0.5107913669064749,0.0,0.2054794520547945
8305,0.3333333333333333,0.3125,0.8231664529242266,0.5659985656588731,0.0,0.0,1.0,0.8752997601918466,0.0,0.0
30883,0.0,0.0625,0.4418660923851263,0.5895897029404011,0.5,0.16666666666666669,1.0,1.0,0.0,0.736986301369863
12539,0.0,1.0,0.3450770682604656,0.6229947533310565,0.5,0.08333333333333333,1.0,0.9592326139088729,0.3333333333333333,0.4246575342465753
11015,0.3333333333333333,0.08333333333333333,0.6731676627870513,0.4922054882421776,0.5,0.0,0.02857142857142857,0.00959232613908873,0.0,0.0
7365,0.3333333333333333,0.020833333333333332,0.7666658600914644,0.5467481976371289,0.0,0.08333333333333333,1.0,0.3189448441247003,0.6666666666666667,0.0
1644,0.3333333333333333,0.7083333333333333,0.560868197546398,0.49035594307929387,0.0,0.25,1.0,0.3860911270983214,0.0,0.7315068493150685
47211,0.6666666666666666,0.40625,0.5854526096740642,0.6316385460310414,0.5,0.0,0.014285714285714285,0.23741007194244604,0.0,0.8794520547945206
33432,0.0,0.03125,0.45227091247852513,0.5315555052278,0.0,0.25,0.08571428571428572,0.20623501199040767,0.3333333333333333,0.4273972602739726
4982,0.0,0.8229166666666666,0.39427008977182254,0.4751066319404913,0.5,0.25,0.35714285714285715,0.2637889688249401,0.0,0.0
43373,0.0,0.0625,0.45778788685363736,0.5689427395915914,0.0,0.7499999999999999,0.014285714285714285,0.18225419664268586,0.0,0.673972602739726
