,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
542,0.0625,0.5415204016155144,0.5,0.16666666666666669,0.0,0.8328767123287671
18954,1.0,0.8869701430566579,0.0,0.9999999999999999,1.0,0.9698630136986301
3852,0.15625,0.5982334956403577,0.5,0.08333333333333333,0.0,0.0
34822,0.3125,0.5957988902729028,0.5,0.0,0.0,0.005479452054794521
41630,0.6145833333333333,0.6409995093043506,0.0,0.9999999999999999,1.0,0.0
6002,0.65625,0.7432906805571236,0.0,0.0,1.0,0.5013698630136987
30779,0.21875,0.6093496395274371,0.0,0.16666666666666669,0.6666666666666667,0.4575342465753425
5198,0.8020833333333333,0.4369267353640396,0.5,0.49999999999999994,0.0,0.0
44468,0.19791666666666666,0.4814290567319688,0.5,0.16666666666666669,0.0,0.0
42375,0.5104166666666666,0.6292983052126999,0.0,0.16666666666666669,0.3333333333333333,0.6027397260273972
8354,0.21875,0.6082927565772138,0.0,0.9999999999999999,0.0,0.0
42624,0.21875,0.6383573019288065,0.0,0.08333333333333333,0.0,0.0
21068,0.25,0.5353300871928468,0.0,0.0,0.0,0.0
12027,0.020833333333333332,0.547578605669429,0.5,0.49999999999999994,0.0,0.736986301369863
42725,0.0625,0.5346884082587735,0.0,0.16666666666666669,0.3333333333333333,0.3698630136986301
47477,0.08333333333333333,0.5031895217604756,0.0,0.08333333333333333,0.0,0.057534246575342465
28814,1.0,0.7078284829954953,0.0,0.16666666666666669,0.3333333333333333,0.0
21335,0.29166666666666663,0.5531272411580517,0.5,0.9999999999999999,1.0,0.9260273972602739
13154,0.44791666666666663,0.43166119352284227,0.5,0.9999999999999999,1.0,0.9972602739726028
29641,0.21875,0.6147095459177763,0.5,0.0,0.0,0.263013698630137
38390,0.0625,0.5411051975993644,0.0,0.08333333333333333,1.0,0.852054794520548
45335,1.0,0.7462159815800362,0.0,0.0,0.0,0.24383561643835616
14467,1.0,0.7129996602876361,0.0,0.08333333333333333,0.0,0.7561643835616438
18558,0.40625,0.6148982750160314,0.0,0.08333333333333333,0.0,0.2410958904109589
12668,0.29166666666666663,0.5375759634620465,0.0,0.0,0.0,0.0
6326,0.08333333333333333,0.5125693579436188,0.5,0.0,0.0,0.0
27538,0.5833333333333333,0.6325633186124549,0.0,0.08333333333333333,0.3333333333333333,0.9315068493150686
36115,0.07291666666666666,0.4790510700939876,0.0,0.16666666666666669,0.3333333333333333,0.0273972602739726
2917,0.2708333333333333,0.49258294643868794,0.5,0.0,0.0,0.0
2229,0.020833333333333332,0.5447854150152978,0.0,0.08333333333333333,0.0,0.8767123287671232
26237,0.15625,0.5941003283886346,0.0,0.9999999999999999,0.0,0.12054794520547946
12725,0.041666666666666664,0.5653757596346338,0.5,0.08333333333333333,0.0,0.6493150684931507
7963,0.23958333333333331,0.4857132072623074,0.0,0.16666666666666669,0.0,0.0
44910,1.0,0.654267164911488,0.5,0.0,1.0,1.0
39985,1.0,0.5084739365115354,0.5,0.16666666666666669,0.3333333333333333,0.8904109589041096
7744,0.23958333333333331,0.48994073906314384,0.5,0.49999999999999994,0.0,0.0547945205479452
42769,0.44791666666666663,0.4460046049900086,0.0,0.0,0.0,0.2054794520547945
45992,0.08333333333333333,0.5077567659381828,0.5,0.9999999999999999,1.0,0.547945205479452
29957,1.0,0.6226550409542142,0.5,0.08333333333333333,0.0,0.0547945205479452
15944,0.010416666666666666,0.5160231004416289,0.5,0.9999999999999999,1.0,0.9397260273972603
5654,0.44791666666666663,0.4428717019590067,0.5,0.0,0.3333333333333333,0.0
3779,0.08333333333333333,0.4839391537387314,0.5,0.0,0.0,0.0
10522,0.21875,0.5991582682217995,0.0,0.7499999999999999,0.0,0.0
34612,0.26041666666666663,0.5910240440871348,0.5,0.16666666666666669,0.0,0.0
3344,0.1875,0.5940625825689949,0.5,0.16666666666666669,0.6666666666666667,0.4301369863013699
16305,0.44791666666666663,0.443909711999396,1.0,0.7499999999999999,0.0,0.0
24768,0.15625,0.5865700373683467,0.5,0.08333333333333333,0.0,0.34794520547945207
26454,0.5104166666666666,0.6307137734495996,0.0,0.08333333333333333,0.0,0.0
10480,0.35416666666666663,0.4906767825463305,0.0,0.0,1.0,0.6465753424657534
28321,0.26041666666666663,0.5921752915864715,0.5,0.3333333333333333,0.0,0.0
13889,0.26041666666666663,0.546634960178153,0.5,0.0,0.0,0.0
34669,0.84375,0.6650247235118911,0.0,0.16666666666666669,0.0,0.0
43787,0.14583333333333331,0.46129166194845084,0.5,0.5833333333333333,0.0,0.10684931506849316
23951,1.0,0.6251651379609484,0.5,0.3333333333333333,0.0,0.0
16721,0.020833333333333332,0.558562639187727,0.5,0.16666666666666669,0.6666666666666667,0.8136986301369863
37812,0.16666666666666666,0.5086815385195962,0.5,0.7499999999999999,0.0,0.7232876712328767
6633,0.29166666666666663,0.5493904050126446,0.0,0.0,0.0,0.0
313,0.125,0.5343864417015993,0.5,0.0,0.3333333333333333,0.589041095890411
18528,0.21875,0.604763522439896,0.0,0.0,0.0,0.0
12048,0.5833333333333333,0.6361680443890805,0.5,0.9999999999999999,0.0,0.18356164383561643
47923,0.010416666666666666,0.5246291473219173,0.5,0.9999999999999999,0.0,0.673972602739726
5961,0.19791666666666666,0.4917147925867198,0.5,0.08333333333333333,0.0,0.0
4635,0.020833333333333332,0.5680557128297892,0.5,0.3333333333333333,0.0,0.0
46704,1.0,0.878213112897754,0.5,0.0,0.0,0.4876712328767123
28279,0.125,0.5643000037745765,0.5,0.08333333333333333,0.0,0.8136986301369863
4457,0.29166666666666663,0.5608085154568982,0.0,0.0,0.0,0.0
12172,0.03125,0.5237043747405039,0.5,0.08333333333333333,0.0,0.8958904109589041
15774,0.010416666666666666,0.5083229532329199,0.5,0.0,0.0,0.0
4194,0.19791666666666666,0.49118635111162234,0.0,0.25,0.0,0.0
27156,0.20833333333333331,0.5350092477258102,0.5,0.3333333333333333,0.0,0.0
4497,0.020833333333333332,0.5590155890235167,0.0,0.9999999999999999,0.0,0.3780821917808219
44620,0.7395833333333333,0.4837692975503103,0.5,0.9999999999999999,1.0,0.9260273972602739
14401,0.23958333333333331,0.47357792624467265,0.5,0.0,0.0,0.0
45775,0.125,0.5514852980032288,0.0,0.08333333333333333,0.0,0.23013698630136986
29578,0.08333333333333333,0.48316536443587665,0.0,0.9999999999999999,0.0,1.0
47920,0.21875,0.6149171479258655,0.5,0.08333333333333333,0.6666666666666667,0.4246575342465753
