TOT_POP,40-49,50-59,60-69,70-79,POP_ESTIMATE_2018,High school diploma only 2014-18,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,Heart disease_number,COPD_number,CKD_number
0.508858189181976,0.4110303196597613,0.5596170138924331,0.6762527797568927,0.7397482196496675,0.508858189181976,0.568351211710389,0.5234238763838737,0.7476867722635352,0.5391006505728965,0.49801037834750556,0.48424245488094636,0.5821763276640055,0.5125956632653061,0.559595421879159
0.04527182630850545,0.04166095029039192,0.04695458674859902,0.05134183992918367,0.059941273752067224,0.04527182630850545,0.05825206325009528,0.04695440436468198,0.05892797496615861,0.04594483297367133,0.05229003761305523,0.05037156867701329,0.05813953488372093,0.058514030612244895,0.06004791056694171
0.1878392841911795,0.19170439475008003,0.20492614860105954,0.19794028110628928,0.18961152924499644,0.1878392841911795,0.21284119377994914,0.1916736959764646,0.20059889011948503,0.19366959521676042,0.1871709797054834,0.1867852990243163,0.1879555709822978,0.19164540816326528,0.18525419217460742
0.035592338952645346,0.041752412310787954,0.03360315208182347,0.02629703996372822,0.02605555368051571,0.035592338952645346,0.04555706190687417,0.037214481901778035,0.028901429249512157,0.038366303823375025,0.0382668685722445,0.03908801375056872,0.030544949670253382,0.03284438775510204,0.031088634548842163
0.053795718243825126,0.04975533909544062,0.04956771157634714,0.04084893235744975,0.03989334773363934,0.053795718243825126,0.04693152071371898,0.054278737411302576,0.04216842759113737,0.04917560519539279,0.05203452435078965,0.05490116778727061,0.05076362374175634,0.0431281887755102,0.05344689912163961
0.4549524142314328,0.4083321900580784,0.4374534281952086,0.42109808493641643,0.38590570049613554,0.4549524142314328,0.5485090245715749,0.4626518573306352,0.4127536639534952,0.42732441512948716,0.4882557838057197,0.5013700015166068,0.5193509198195071,0.5677614795918368,0.536811285600213
0.2702992716997433,0.2498742397219555,0.20329294558371697,0.17354319148476802,0.20911944378818048,0.2702992716997433,0.17408145542692563,0.27093383861258735,0.21695995874572954,0.24804836967952082,0.25737700606092484,0.27333299630959,0.24080180492884415,0.18183992346938774,0.281075326058025
0.14504923661916802,0.13778753372662003,0.15825737238049548,0.15752315564479566,0.13291032434439232,0.14504923661916802,0.21126681369210873,0.14832051436541607,0.1471558579306061,0.14355374340104168,0.13555730072783706,0.13641373034730297,0.14829920166608815,0.1580038265306122,0.14202821400053237
0.046790608861215735,0.04170668130058994,0.038094460379515555,0.0322991558175184,0.03017314117925006,0.046790608861215735,0.035735928977964924,0.04657766106122494,0.02997966586384919,0.04033870086902117,0.03981497833773593,0.043071634396643244,0.034710170079833395,0.02989477040816326,0.03790258184721853
0.08687876428329697,0.10632459871038552,0.08647809976828931,0.08299328540276787,0.08248675284349792,0.08687876428329697,0.13889530997169863,0.0901136739813041,0.08848572215483244,0.09367825538300027,0.11138875215589315,0.11008543551893231,0.11723359944463728,0.1215720663265306,0.12137343625232899
1.0,1.0,1.0,1.0,0.79692193459111,1.0,0.8620355734929371,1.0,0.931713634419188,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0
0.04286708726671417,0.036996387250194364,0.04258576867720763,0.04162618477017078,0.04954605285362314,0.04286708726671417,0.05362888362707184,0.04302630139187259,0.048356568160375986,0.04095374941013664,0.043407194201351966,0.045983519538951516,0.04538354737938216,0.04264987244897959,0.0430130423210008
0.09038407039226962,0.0730781542964284,0.0897036757275409,0.1266921432735281,0.14161800938269936,0.09038407039226962,0.10480873156194748,0.08975909204863866,0.13152142702271916,0.093077345888807,0.07871311496969538,0.07293867852990243,0.12165914612981604,0.10084502551020408,0.11477242480702689
0.04899174299557847,0.04449627292266887,0.05303826798820011,0.062007470259300035,0.06027878092409463,0.04899174299557847,0.06170070534726951,0.0496470109158602,0.06403787892106019,0.05056123179376786,0.04997538806076707,0.05411253222789545,0.05857341200971885,0.051498724489795915,0.05685387277082779
0.1083563305993413,0.11185805094434537,0.11799891800300101,0.10277004123755856,0.11097235816261095,0.1083563305993413,0.10320936131398262,0.10603661889506175,0.10147144137967407,0.10576007097801556,0.09892872307247183,0.10143066579040494,0.09901076015272475,0.09925063775510204,0.09880223582645728
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0
0.13121510858469826,0.13376320482919468,0.15143874978309024,0.14133039704644085,0.157278342164771,0.13121510858469826,0.19102478399130343,0.1308628945243408,0.1535549578374324,0.13494306382542517,0.14268161168747723,0.1383145442596431,0.1620964942728219,0.16637436224489793,0.14820335373968593
0.07943342807381502,0.083824941692962,0.0824767523758,0.08972947297968348,0.10233217455870937,0.07943342807381502,0.10123513866415099,0.0836979571371387,0.09713505499592731,0.08175196930412913,0.09078235906376936,0.0890349325109954,0.11341548073585561,0.1214126275510204,0.10284801703486825
0.0648949371163492,0.057118031737321086,0.07557646962752763,0.10618131571561197,0.10017212865773396,0.0648949371163492,0.09578728375702067,0.06424027358212242,0.09739289418631225,0.06977619656103032,0.08547670132378415,0.07862089884232344,0.11636584519264144,0.11933992346938775,0.10220920947564546
0.16023155931093494,0.1643115196414689,0.15854318290853042,0.15950946736619384,0.1726011677748152,0.16023155931093494,0.20646870294821412,0.1637725301498524,0.17579944798973332,0.16095184063880213,0.1815647181275387,0.17788787220059654,0.18986463033668863,0.20551658163265304,0.17034868245940912
